ID,SMILES,A(iso)
rad_0140,CCCC1[CH]C1C,[0.6625 0.449 1.5859 74.5845 -17.7763 41.1198 -1.9502]
rad_0141,C[CH]CC1CC1C,[63.8925 -60.4707 79.963 -1.4692 0.35 0.0711 0.1804]
rad_0142,[CH2]C1CC1CCC,[-61.4815 2.3028 -0.23 -6.1464 0.6434 -0.2597 0.1934]
rad_0143,[CH2]CCC1CC1C,[-63.1832 88.2721 -1.7821 0.8067 -0.0215 0.1293 -0.002]
rad_0144,C[CH]C1(C)CC1C,[63.7462 -62.1673 0 -1.8025 -0.2792 2.9004 0.7071]
rad_0145,CCC1(C)[CH]C1C,[1.6432 -1.2437 0 -0.908 -14.238 47.1531 -2.121]
rad_0146,[CH2]CC1(C)CC1C,[-63.2022 90.2232 0 0.7046 -0.1671 0.1782 0.3121]
rad_0147,[CH2]C1(CC)CC1C,[-60.7321 0 -1.9942 0.5999 0.3696 -6.9099 3.9405]
rad_0148,CCC1(C)C[C]1C,[0.513 -0.9452 0 2.6647 56.6546 0 52.4515]
rad_0149,[CH2]C1CC1(C)CC,[-60.9674 9.2745 0.2391 0 4.5546 0.0335 0.6174]
rad_0150,CC[C]1CC1C,[-1.4386 67.1703 0 56.2891 69.0205 1.5411]
rad_0151,C[CH]C1CC1C,[62.5 -59.6827 7.1984 -0.4313 -6.9796 4.0266]
rad_0152,[CH2]CC1CC1C,[-62.9115 73.4263 -1.6326 0.3451 0.7953 -0.0291]
rad_0153,CCC1C[C]1C,[0.2187 -0.7255 38.4167 55.7068 0 50.9924]
rad_0154,CCC1[CH]C1C,[1.1616 -1.25 68.7294 -14.9071 40.6281 -1.8856]
rad_0155,[CH2]C1CC1CC,[-61.407 5.2058 0.2128 1.8129 0.0601 0.9596]
rad_0156,[CH2]C(C)C1CC1,[-61.0936 26.6193 0.3508 -2.2189 0.782 1.1807]
rad_0157,C[C](C)C1CC1,[57.2608 0 54.2221 2.5501 -1.965 -0.923]
rad_0158,CC(C)[C]1CC1,[-1.0155 24.326 1.5898 0 58.2988 59.1441]
rad_0159,CC(C)C1[CH]C1,[0.812 0.916 0.2734 47.2307 -14.6174 63.2224]
rad_0160,CCC1C[C](C)C1,[0.8031 0.1782 -3.9612 91.066 0 60.5971 91.1295]
rad_0161,[CH2]C1CC(CC)C1,[-62.9444 3.6519 -2.8049 0.0665 0.7204 0.0776 -3.0294]
rad_0162,CCC1[CH]C(C)C1,[0.5461 -0.4451 96.5251 -62.945 96.9611 -0.9452 -3.1113]
rad_0163,CC[C]1CC(C)C1,[-1.3561 69.9061 0 89.4814 -2.4769 0.4501 89.611]
rad_0165,[CH2]CC1CC(C)C1,[-64.5223 98.3561 -1.2105 0.5554 -0.0629 -0.0137 0.8018]
rad_0166,CCC1(C)[CH]C1,[0.288 7.1016 0 -0.8663 -13.6176 58.6895]
rad_0167,C[CH]C1(C)CC1,[64.1271 -59.7054 0 -1.9301 1.9086 -0.1747]
rad_0168,[CH2]CC1(C)CC1,[-63.2944 81.4117 0 0.612 0.405 -0.2654]
rad_0169,[CH2]C1(CC)CC1,[-61.7929 0 -2.7577 0.2358 0.9855 1.1327]
rad_0170,[CH]1CCCC1,[-65.2506 93.5434 -1.2641 -1.2922 93.7395]
rad_0171,[CH2]CC1(CC)CC1,[-62.9082 83.7416 0 1.0923 0.8578 -0.2243 0.4496]
rad_0172,C[CH]C1(CC)CC1,[64.1138 -59.6306 0 -2.1775 0.1649 -0.2357 2.6709]
rad_0173,CCC1(CC)[CH]C1,[0.3371 6.739 0 -1.4029 0.7548 -14.3759 61.5099]
rad_0174,C[C]1CCC1(C)C,[61.6384 0 90.825 -2.942 0 1.3437 0.1456]
rad_0175,[CH2]C1(C)CCC1C,[-61.4948 0 5.9184 0.0721 0.9694 -0.3196 0.6816]
rad_0176,[CH2]C1CCC1(C)C,[-61.4481 40.0335 -1.3507 0.6048 0 2.6882 0.6328]
rad_0177,CC1C[CH]C1(C)C,[0.2672 -2.934 96.7746 -62.0967 0 2.5276 0.6594]
rad_0178,CC1[CH]CC1(C)C,[-1.7234 108.2253 -60.2792 94.7548 0 0.1438 0.1419]
rad_0179,CCC1(C)[CH]CC1,[0.872 -2.0667 0 1.8877 -64.9 99.9586 -3.2455]
rad_0180,[CH2]C1(CC)CCC1,[-61.0834 0 -2.0482 1.1802 -1.8836 0.1412 -1.0636]
rad_0181,CCC1(C)C[CH]C1,[0.1364 0.2288 0 0.0982 98.9958 -64.8907 98.6297]
rad_0182,C[CH]C1(C)CCC1,[63.3385 -61.7262 0 2.5647 -1.3297 0.9439 0.817]
rad_0183,[CH2]CC1(C)CCC1,[-63.7497 38.9034 0 0.3955 0.2932 0.5956 0.6691]
rad_0184,C[CH]CC1CC1,[65.13 -59.4684 26.6223 -3.9398 0.9784 0.9904]
rad_0185,CC[CH]C1CC1,[-1.2018 74.5978 -58.4707 7.3842 0.0811 -0.3899]
rad_0186,[CH2]CCC1CC1,[-62.6929 32.3158 0.549 0.0492 1.7349 -0.1874]
rad_0187,CCC[C]1CC1,[0.2614 -1.2341 65.0266 0 54.3517 54.0037]
rad_0188,CCCC1[CH]C1,[0.3255 0.372 -1.1564 41.9622 -13.8099 60.3229]
rad_0189,CC(C)C1(C)[CH]C1,[0.6468 -3.7321 0.3762 0 5.0387 -13.7345 63.2445]
rad_0190,C[C](C)C1(C)CC1,[57.8871 0 58.1654 0 2.5803 -0.2347 -0.19]
rad_0191,[CH2]C1(C(C)C)CC1,[-61.0876 0 -1.9565 0.5971 0.0765 1.7743 0.4928]
rad_0192,[CH2]C(C)C1(C)CC1,[-64.4271 37.0503 0.7382 0 1.5606 -0.3926 0.2476]
rad_0193,CC1C[CH]CCC1,[0.2979 -2.4281 65.7076 -60.76 66.5731 -1.0463 1.3488]
rad_0194,CC1[CH]CCCC1,[-1.4817 104.0955 -60.4613 65.1736 -1.0443 1.5666 -0.6778]
rad_0195,CC1CC[CH]CC1,[0.0723 0.2519 -1.221 66.6392 -60.4197 66.6429 -1.2222]
rad_0196,C[C]1CCCCC1,[57.832 0 62.2524 -1.3546 1.1269 -1.3828 62.8125]
rad_0197,[CH2]C1CCCCC1,[-62.9477 54.123 -3.1058 0.928 0.0581 0.8649 -1.3972]
rad_0198,CC[C]1CC1(C)C,[-1.3825 67.2011 0 56.945 0 -0.8205 2.8023]
rad_0199,C[CH]C1CC1(C)C,[63.1902 -60.8744 12.7258 0.1276 0 0.5011 4.0201]
rad_0200,CCC1[CH]C1(C)C,[0.6655 -2.9549 48.35 -13.8067 0 -0.8655 4.3059]
rad_0201,[CH2]C1(C)CC1CC,[-61.2082 0 -2.2022 0.54 3.5554 0.0724 0.9775]
rad_0202,[CH2]CC1CC1(C)C,[-63.2084 85.8826 -1.5763 0.3672 0 0.737 0.1337]
rad_0203,CC[C]1CC1CC,[-1.423 64.9313 0 56.1437 38.3949 -0.7443 0.2281]
rad_0204,C[CH]C1CC1CC,[60.5988 -61.9041 3.8551 -0.9331 -5.7678 5.5796 0.0035]
rad_0205,[CH2]CC1CC1CC,[-63.4607 93.119 -1.4156 -0.0949 0.0756 0.2353 0.0451]
rad_0206,CCC1[CH]C1CC,[0.2286 4.5522 67.8289 -13.9288 40.1189 -2.8053 0.7334]
rad_0207,CC[C](C)C1CC1,[0.5574 24.8653 0 56.7967 15.9964 -0.2114 -3.5282]
rad_0208,CCC(C)[C]1CC1,[1.3401 -1.6787 25.577 1.4453 0 59.6605 59.5921]
rad_0209,CCC(C)C1[CH]C1,[0.0748 0.1217 2.5398 0.3504 72.6656 -15.534 58.0236]
rad_0210,[CH2]C(CC)C1CC1,[-62.9215 53.6977 -0.9378 0.6298 1.1745 -0.2617 1.0614]
rad_0211,C[CH]C(C)C1CC1,[64.3185 -60.9391 35.1856 2.6901 -0.7804 0.3191 -0.2875]
rad_0212,[CH2]CC(C)C1CC1,[-64.3368 45.3017 -3.5195 0.4986 1.9259 0.3542 1.1964]
rad_0213,C[C](C)C1CCC1,[56.873 0 56.9594 101.0802 -1.708 0.8147 -1.718]
rad_0214,[CH2]C(C)C1CCC1,[-64.0749 52.5423 -0.5081 1.8224 -0.0086 2.276 -0.117]
rad_0215,CC(C)[C]1CCC1,[-1.1918 105.152 -1.3323 0 90.3694 -3.5782 89.6168]
rad_0216,CC(C)C1[CH]CC1,[0.6814 -3.485 0.3342 98.0312 -64.1131 98.8238 -3.7517]
rad_0217,CC(C)C1C[CH]C1,[0.0426 0.3972 0.0413 -3.6116 96.7384 -63.6137 96.7323]
rad_0218,CC[C]1CCCC1,[-0.6548 44.6016 0 84.8907 -0.9829 -1.2729 90.4199]
rad_0219,CCC1[CH]CCC1,[0.4613 0.4452 109.5136 -64.5526 94.2308 -1.1252 -1.1898]
rad_0220,CCC1C[CH]CC1,[0.027 0.0698 -1.5397 93.023 -65.3152 93.3014 -1.3117]
rad_0221,C[CH]C1CCCC1,[65.1891 -59.9099 18.1799 -2.0327 0.6182 1.8792 -3.7243]
rad_0222,[CH2]CC1CCCC1,[-62.9223 87.1054 -1.7668 0.6018 0.1977 0.0638 1.7077]
rad_0223,CC1C[CH]CC1,[0.3725 -1.706 93.2074 -65.0702 94.5163 -1.4463]
rad_0224,CC1[CH]CCC1,[1.7937 64.6006 -64.7536 93.4992 -1.3948 -0.5861]
rad_0225,C[C]1CCCC1,[59.4519 0 85.5291 -1.2234 -1.1585 88.6865]
rad_0226,[CH2]C1CCCC1,[-61.7572 130.6873 -1.218 0.4071 1.1071 -2.0654]
rad_0227,CC1[CH]CC(C)C1,[1.6319 66.8152 -64.9778 92.0397 -1.6429 0.1309 -0.6592]
rad_0228,C[C]1CCC(C)C1,[59.5631 0 85.99 -1.3038 -1.5319 -0.0166 86.9252]
rad_0229,CC1[CH]C(C)CC1,[1.9046 66.0307 -64.1736 112.6888 -0.1107 -1.248 -0.4498]
rad_0230,[CH2]C1CCC(C)C1,[-62.1612 20.0106 -4.3256 2.0674 0.2488 0.0716 -1.6211]
rad_0231,[CH2]C1C(C)C1C,[-61.2533 2.266 -5.6145 3.935 -6.1276 4.1544]
rad_0232,C[C]1C(C)C1C,[51.5072 0 44.053 -1.7654 43.6512 -1.7527]
rad_0233,CC[CH]C1(C)CC1,[-1.0823 74.843 -61.4075 0 -2.3777 -0.0857 -1.8715]
rad_0234,CCCC1(C)[CH]C1,[0.2635 0.347 -0.7926 0 -0.8997 -12.5568 58.8896]
rad_0235,[CH2]C1(CCC)CC1,[-60.9904 0 -1.8993 0.9958 0.3368 0.8789 0.5699]
rad_0236,C[CH]CC1(C)CC1,[67.5844 -64.2783 33.4727 0 0.7536 -0.1919 -0.1592]
rad_0237,[CH2]CCC1(C)CC1,[-62.7186 30.4385 -3.8716 0 0.3534 0.422 0.3528]
rad_0238,CC1(C)[CH]C1(C)C,[4.2897 0 -1.1182 -15.1301 0 -1.1046 4.2477]
rad_0239,[CH2]C1(C)CC1(C)C,[-61.3988 0 -2.2968 0.148 0 0.345 4.6922]
rad_0240,[CH]1CCCCCC1,[-64.4458 92.5343 -0.5355 0.1395 0.6217 1.6065 37.1429]
rad_0241,[CH2]C1(C)C(C)C1C,[-61.3025 0 -2.6296 -6.0308 3.6838 -5.6929 3.4492]
rad_0242,C[C]1C(C)C1(C)C,[52.7914 0 45.3581 -1.9311 0 2.1 -0.9254]
rad_0243,[CH2]C1C(C)C1(C)C,[-60.6653 3.3937 2.9799 1.0468 0 4.2828 0.7607]
rad_0244,[CH]1CCCCC1,[-60.6776 66.4845 -1.1888 1.4646 -1.1401 66.3326]
rad_0245,CCC1[C](C)C1C,[0.7016 -2.4755 39.8964 0 52.6346 70.4453 1.6066]
rad_0246,[CH2]C1C(C)C1CC,[-61.2063 4.3958 -5.1961 3.5157 1.6869 -0.0063 1.0394]
rad_0247,CC[C]1C(C)C1C,[-1.3904 67.37 0 44.5511 -1.7396 42.8406 -1.6891]
rad_0248,C[CH]C1C(C)C1C,[62.6383 -59.5622 4.9859 -6.8729 4.3298 -3.5293 2.6998]
rad_0249,[CH2]CC1C(C)C1C,[-63.1772 84.4343 -1.685 -0.1047 0.3138 0.8074 -0.0669]
rad_0250,CC1[CH]C(C)(C)C1,[-0.8786 96.9895 -63.2144 0 1.2034 2.1907 -2.8052]
rad_0251,C[C]1CC(C)(C)C1,[60.8951 0 90.4074 0 0.2378 0.183 90.7796]
rad_0252,[CH2]C1(C)CC(C)C1,[-61.8722 0 5.2252 -0.6944 2.6844 0.1639 -0.7914]
rad_0253,[CH2]C1CC(C)(C)C1,[-63.0369 4.4746 -2.7489 0 0.6101 1.0471 -2.3399]
rad_0254,[CH2]C(C)(C)C1CC1,[-63.1728 0 6.3483 1.3229 -1.2959 0.7494 0.2041]
rad_0255,CC(C)(C)[C]1CC1,[3.147 0 -0.712 -0.7283 0 59.2799 59.376]
rad_0256,CC(C)(C)C1[CH]C1,[1.3744 0 0.045 0.2143 71.9307 -17.13 58.7111]
rad_0257,CCC[CH]C1CC1,[0.5051 -3.62 26.4125 -58.5433 8.4183 -0.239 -0.1196]
rad_0258,CCCC[C]1CC1,[0.0227 0.3063 -1.2902 64.4573 0 54.4198 54.303]
rad_0259,CC[CH]CC1CC1,[-1.5356 81.1056 -59.3692 80.0813 -1.438 -0.1062 0.3362]
rad_0260,CCCCC1[CH]C1,[0.0102 0.0722 0.0252 -2.6008 42.6623 -13.6874 60.6863]
rad_0261,C[CH]CCC1CC1,[63.4376 -61.8114 83.4004 -1.6182 0.9731 0.1763 -0.0315]
rad_0262,[CH2]CCCC1CC1,[-62.5432 29.8018 -3.8388 -0.6841 0.0977 0.0461 0.0096]
rad_0263,C[C](C)CC1CC1,[56.4035 0 59.0313 75.4734 -0.9243 0.8965 0.13]
rad_0264,CC(C)[CH]C1CC1,[-0.9726 106.8694 -1.37 -57.9724 10.032 -0.0741 -0.2288]
rad_0265,CC(C)C[C]1CC1,[-0.0245 -0.9611 0.8924 64.4514 0 53.8168 54.5596]
rad_0266,[CH2]C(C)CC1CC1,[-62.9453 15.0531 4.5795 -0.623 -0.093 0.2039 0.9601]
rad_0267,CC(C)CC1[CH]C1,[0.0112 0.128 -0.0043 4.2732 66.0797 -13.6301 57.8255]
